source_vertex_id,distance_to_surface
253,0.139037
254,0.196199
255,0.320204
256,0.526334
257,0.727244
258,0.902009
259,1.408150
260,1.133977
261,1.900478
262,1.870772
263,1.727501
264,1.607818
265,1.456356
266,1.414031
267,1.122687
268,0.747206
269,0.942762
270,0.827266
271,0.273805
272,1.912280
273,1.826567
274,2.456694
275,2.476215
276,1.739912
277,1.455569
278,0.391173
279,0.691569
280,0.243660
281,1.151711
282,0.028282
283,0.006764
284,0.025095
285,0.033315
286,0.104486
287,0.051408
288,0.052075
289,0.086642
290,0.172569
291,0.330935
292,0.492806
293,0.271102
294,0.182113
295,0.667587
296,0.892186
297,1.214762
298,1.030962
299,0.817287
300,1.796197
301,1.681388
302,1.391189
303,1.764647
304,1.059553
305,1.423801
306,1.218169
307,0.950626
308,0.573243
309,0.656024
310,0.098968
311,0.003424
312,0.111194
313,2.940209
314,3.110699
315,2.545928
316,3.142109
317,2.280364
318,1.824096
319,0.959712
320,0.489561
321,1.371106
322,1.597029
323,0.017949
324,0.013123
325,0.026482
326,0.035127
327,0.010510
328,0.006800
329,0.008978
330,0.027264
331,0.023967
332,0.042758
333,0.010272
334,0.056673
335,0.024162
336,0.016447
337,0.092799
338,0.050232
339,0.092414
340,0.439465
341,0.255242
342,0.668685
343,0.632278
344,0.794229
345,0.593570
346,1.623025
347,1.512887
348,1.261673
349,1.564409
350,0.853472
351,1.231201
352,0.558267
353,1.040977
354,0.776949
355,0.386366
356,0.459971
357,0.063136
358,0.014808
359,0.020258
360,0.020284
361,0.003228
362,0.077748
363,0.059075
364,0.059688
365,0.059322
366,0.147008
367,0.074906
368,0.078289
369,0.024904
370,0.082975
371,0.175378
372,0.016520
373,0.050251
374,0.197373
375,1.226768
376,1.341809
377,0.724855
378,0.226699
379,0.648650
380,2.683789
381,1.698053
382,2.421065
383,3.372276
384,3.652783
385,3.816191
386,3.007690
387,3.743330
388,2.657229
389,2.137141
390,1.119211
391,0.632583
392,1.824060
393,0.036398
394,0.011177
395,0.076173
396,0.063235
397,0.016121
398,0.035625
399,0.122581
400,0.045273
401,0.075181
402,0.026666
403,0.013033
404,0.031296
405,0.039292
406,0.036168
407,0.143654
408,0.045975
409,0.069578
410,0.037318
411,0.037701
412,0.035952
413,0.007751
414,0.005121
415,0.019424
416,0.036003
417,0.037870
418,0.039127
419,0.035927
420,0.031169
421,0.003079
422,0.018077
423,0.023464
424,0.061566
425,0.513255
426,0.370906
427,0.179531
428,0.447533
429,0.486417
430,0.367224
431,0.371590
432,0.270592
433,1.248903
434,0.967966
435,0.664506
436,1.379934
437,0.528208
438,0.237391
439,1.369140
440,0.057449
441,1.058645
442,0.871925
443,0.631160
444,0.210544
445,0.119201
446,0.324871
447,0.211416
448,0.027201
449,0.078937
450,0.178424
451,0.069904
452,0.006360
453,0.061910
454,0.043430
455,0.318213
456,0.260988
457,0.019934
458,0.130194
459,0.162272
460,0.063940
461,0.232605
462,0.147966
463,0.135002
464,0.356450
465,0.240531
466,0.355175
467,1.046540
468,1.284557
469,0.806048
470,0.955383
471,0.550806
472,0.681391
473,2.224057
474,3.142812
475,1.521402
476,1.867650
477,1.451320
478,1.924825
479,3.115130
480,3.749099
481,4.086179
482,4.406620
483,4.348170
484,3.427252
485,4.065497
486,2.958226
487,2.380990
488,1.325191
489,0.773273
490,2.103867
491,0.075762
492,0.056283
493,0.032258
494,0.077685
495,0.114282
496,0.175903
497,0.131111
498,0.037357
499,0.031627
500,0.015314
501,0.004404
502,0.077993
503,0.202736
504,0.024110
505,0.043599
506,0.551065
507,0.070138
508,0.085344
509,0.084909
510,0.078810
511,0.055526
512,0.025217
513,0.030535
514,0.008894
515,0.021677
516,0.010397
517,0.034732
518,0.032755
519,0.023523
520,0.039920
521,0.034350
522,0.040962
523,0.017851
524,0.062636
525,0.092001
526,0.087370
527,0.062977
528,0.328684
529,0.225308
530,0.182810
531,0.303801
532,0.196012
533,0.128200
534,0.002874
535,0.023468
536,0.968263
537,0.831967
538,1.139571
539,0.519605
540,0.091632
541,1.038782
542,0.181753
543,0.405595
544,0.881106
545,0.398978
546,0.708236
547,0.509284
548,0.064484
