source_vertex_id,distance_to_surface
713,1.772481
714,0.633985
715,2.205662
716,0.147194
717,0.156898
718,0.110473
719,0.111935
720,0.137013
721,0.084547
722,0.064352
723,0.049008
724,0.084252
725,0.075927
726,0.012385
727,0.018122
728,0.060952
729,0.093156
730,0.189319
731,0.269303
732,0.339174
733,0.337119
734,0.339372
735,0.266064
736,0.290072
737,0.265363
738,0.468462
739,0.416601
740,0.605000
741,0.126615
742,0.118933
743,0.113331
744,0.105894
745,0.098124
746,0.091724
747,0.100457
748,0.110222
749,0.130823
750,0.056994
751,0.075836
752,0.052884
753,0.002535
754,0.042612
755,0.011170
756,0.041987
757,0.012601
758,0.023729
759,0.053432
760,0.114442
761,0.161091
762,0.046752
763,0.067965
764,0.013812
765,0.166991
766,0.033957
767,0.072747
768,0.376009
769,0.697170
770,1.185788
771,0.991821
772,0.762698
773,0.408826
774,0.063309
775,0.461464
776,0.333406
777,0.418551
778,0.694348
779,0.345122
780,0.206565
781,0.752806
782,0.959572
783,0.753225
784,1.333438
785,0.639806
786,0.501080
787,0.304155
788,0.197072
789,0.062829
790,0.278601
791,0.685329
792,0.807334
793,0.621494
794,0.640971
795,0.484685
796,0.648050
797,0.225337
798,0.317521
799,0.312184
800,0.136539
801,0.016008
802,0.254018
803,0.373853
804,0.135991
805,0.728035
806,0.451056
807,0.504517
808,1.796495
809,0.692257
810,0.261363
811,0.566095
812,0.729201
813,0.492601
814,1.518018
815,1.573476
816,3.082567
817,3.386501
818,3.712989
819,4.138254
820,4.546466
821,5.696978
822,5.569771
823,6.046045
824,6.061250
825,6.225007
826,6.051121
827,5.913061
828,5.697283
829,5.402461
830,5.096423
831,4.008524
832,4.547647
833,3.347627
834,2.650766
835,1.172664
836,1.692555
837,0.618679
838,1.586012
839,1.954805
840,0.275764
841,0.220046
842,0.200838
843,0.171794
844,0.174903
845,0.206261
846,0.178496
847,0.146270
848,0.123217
849,0.150180
850,0.095301
851,0.102872
852,0.083938
853,0.027263
854,0.110158
855,0.069190
856,0.027666
857,0.010838
858,0.057593
859,0.114648
860,0.200369
861,0.324175
862,0.412167
863,0.435039
864,0.421775
865,0.373614
866,0.323920
867,0.482276
868,0.396242
869,0.321818
870,0.667103
871,0.717489
